epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.453,1.51559,2.21441,1.43267,0,0,0,0,0,0,0,0.00332873,0.00332873,0.00332873
2,333.571,1.502,1.38507,1.41299,0,0,0,0,0,0,0,0.00649718,0.00649718,0.00649718
3,499.188,1.62529,1.43539,1.51564,0,0,0,0,0,0,0,0.00950062,0.00950062,0.00950062
4,666.33,1.67458,1.46386,1.58207,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
5,835.303,1.60254,1.31967,1.53196,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
6,1004.2,1.55209,1.22332,1.49562,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
7,1171.86,1.51641,1.15265,1.46658,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
8,1340.82,1.48253,1.10139,1.43976,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
9,1511,1.45627,1.05804,1.41493,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
10,1680.66,1.43622,1.02536,1.40465,0,0,0,0,0,0,0,0.0077725,0.0077725,0.0077725
11,1849.06,1.41498,0.99655,1.38327,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
12,2017.77,1.39671,0.9744,1.37102,0,0,0,0,0,0,0,0.0072775,0.0072775,0.0072775
13,2186.69,1.38063,0.95864,1.36225,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
14,2361.71,1.36338,0.93871,1.34797,0,0,0,0,0,0,0,0.0067825,0.0067825,0.0067825
15,2531.76,1.34694,0.90677,1.33317,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
16,2701.67,1.34671,0.89945,1.32466,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
17,2869.85,1.323,0.87979,1.31216,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
18,3038.35,1.32199,0.86535,1.31016,0,0,0,0,0,0,0,0.0057925,0.0057925,0.0057925
19,3206.89,1.3028,0.85026,1.29877,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
20,3376.48,1.29691,0.8321,1.29195,0,0,0,0,0,0,0,0.0052975,0.0052975,0.0052975
21,3544.39,1.2856,0.82298,1.28209,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
22,3715.58,1.26579,0.80875,1.27226,0,0,0,0,0,0,0,0.0048025,0.0048025,0.0048025
23,3874.02,1.24967,0.78796,1.26019,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
24,4028.71,1.24845,0.7795,1.25593,0,0,0,0,0,0,0,0.0043075,0.0043075,0.0043075
25,4183.63,1.22791,0.77035,1.24698,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
26,4338.94,1.228,0.76208,1.24598,0,0,0,0,0,0,0,0.0038125,0.0038125,0.0038125
27,4493.81,1.22369,0.74786,1.2388,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
28,4648.38,1.20319,0.73541,1.23001,0,0,0,0,0,0,0,0.0033175,0.0033175,0.0033175
29,4803.26,1.19168,0.72661,1.21997,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
30,4957.97,1.17932,0.71492,1.2175,0,0,0,0,0,0,0,0.0028225,0.0028225,0.0028225
31,5167.4,1.14186,0.57541,1.19607,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
32,5319.89,1.11563,0.55681,1.17687,0,0,0,0,0,0,0,0.0023275,0.0023275,0.0023275
33,5472.53,1.09959,0.54301,1.16665,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
34,5625.57,1.08519,0.52578,1.15478,0,0,0,0,0,0,0,0.0018325,0.0018325,0.0018325
35,5778.69,1.06249,0.51587,1.14354,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
36,5931.89,1.04225,0.50277,1.13071,0,0,0,0,0,0,0,0.0013375,0.0013375,0.0013375
37,6085.17,1.02848,0.48758,1.12018,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
38,6238.26,1.01872,0.4772,1.11207,0,0,0,0,0,0,0,0.0008425,0.0008425,0.0008425
39,6391.29,1.00211,0.47041,1.10473,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
40,6556.16,0.98916,0.46058,1.09657,0.95275,0.94353,0.96668,0.70816,1.03817,0.46284,1.14256,0.0003475,0.0003475,0.0003475
